area,experiment,asymmetry,observer,value,gainScale,nVertex,band
V1,dg,horiz-vert,sub-0037,-0.731652046390952,0.986442735975675,1232,4-8
V1,dg,card-obl,sub-0037,-0.221554249074536,0.986442735975675,1232,4-8
V1,dg,rad-tang,sub-0037,0.173862449910905,0.986442735975675,1232,4-8
V1,dg,polc-polo,sub-0037,0.0581983075138264,0.986442735975675,1232,4-8
V1,dg,horiz-vert,sub-0201,-0.274071028147344,1.12744149581385,1126,4-8
V1,dg,card-obl,sub-0201,-0.134357206399252,1.12744149581385,1126,4-8
V1,dg,rad-tang,sub-0201,0.0317160934244583,1.12744149581385,1126,4-8
V1,dg,polc-polo,sub-0201,0.0422647816839125,1.12744149581385,1126,4-8
V1,dg,horiz-vert,sub-0255,-0.444810764154882,0.957532895488174,1606,4-8
V1,dg,card-obl,sub-0255,-0.0423551890659071,0.957532895488174,1606,4-8
V1,dg,rad-tang,sub-0255,0.126950926047108,0.957532895488174,1606,4-8
V1,dg,polc-polo,sub-0255,0.028259524235091,0.957532895488174,1606,4-8
V1,dg,horiz-vert,sub-wlsubj123,-0.477710911926989,1.07041164072014,1235,4-8
V1,dg,card-obl,sub-wlsubj123,-0.222996114234528,1.07041164072014,1235,4-8
V1,dg,rad-tang,sub-wlsubj123,0.10675831479419,1.07041164072014,1235,4-8
V1,dg,polc-polo,sub-wlsubj123,0.0277961488960859,1.07041164072014,1235,4-8
V1,dg,horiz-vert,sub-wlsubj124,-0.689647866019948,1.01028706065715,1564,4-8
V1,dg,card-obl,sub-wlsubj124,-0.429128700409849,1.01028706065715,1564,4-8
V1,dg,rad-tang,sub-wlsubj124,0.0145595126338021,1.01028706065715,1564,4-8
V1,dg,polc-polo,sub-wlsubj124,-0.0036354570704738,1.01028706065715,1564,4-8
V1,dg,horiz-vert,sub-0395,-0.660179145152896,0.856885112529677,1786,4-8
V1,dg,card-obl,sub-0395,-0.3860221300059,0.856885112529677,1786,4-8
V1,dg,rad-tang,sub-0395,0.25409965211884,0.856885112529677,1786,4-8
V1,dg,polc-polo,sub-0395,0.134932377973496,0.856885112529677,1786,4-8
V1,dg,horiz-vert,sub-0426,-0.65992644875868,1.30083043815567,1135,4-8
V1,dg,card-obl,sub-0426,0.00551155670313,1.30083043815567,1135,4-8
V1,dg,rad-tang,sub-0426,0.0620547114022194,1.30083043815567,1135,4-8
V1,dg,polc-polo,sub-0426,-0.000178718316873244,1.30083043815567,1135,4-8
V1,dg,horiz-vert,sub-0250,-0.446954986846717,0.779007252421509,1391,4-8
V1,dg,card-obl,sub-0250,-0.333651954904833,0.779007252421509,1391,4-8
V1,dg,rad-tang,sub-0250,0.0603394190685435,0.779007252421509,1391,4-8
V1,dg,polc-polo,sub-0250,0.0251868105749802,0.779007252421509,1391,4-8
V1,da,horiz-vert,sub-0037,0.0269418334269368,0.986442735975675,1232,4-8
V1,da,card-obl,sub-0037,0.016527761947094,0.986442735975675,1232,4-8
V1,da,rad-tang,sub-0037,0.317716621589335,0.986442735975675,1232,4-8
V1,da,polc-polo,sub-0037,0.145541969100344,0.986442735975675,1232,4-8
V1,da,horiz-vert,sub-0201,-0.172883502551675,1.12744149581385,1126,4-8
V1,da,card-obl,sub-0201,0.0301020496960927,1.12744149581385,1126,4-8
V1,da,rad-tang,sub-0201,0.174187517958592,1.12744149581385,1126,4-8
V1,da,polc-polo,sub-0201,0.198480598566889,1.12744149581385,1126,4-8
V1,da,horiz-vert,sub-0255,-0.347664961277765,0.957532895488174,1606,4-8
V1,da,card-obl,sub-0255,-0.00232185501032606,0.957532895488174,1606,4-8
V1,da,rad-tang,sub-0255,0.2146592084988,0.957532895488174,1606,4-8
V1,da,polc-polo,sub-0255,0.0116103133239742,0.957532895488174,1606,4-8
V1,da,horiz-vert,sub-wlsubj123,-0.0865404213073125,1.07041164072014,1235,4-8
V1,da,card-obl,sub-wlsubj123,-0.0514524664547083,1.07041164072014,1235,4-8
V1,da,rad-tang,sub-wlsubj123,0.301750630190516,1.07041164072014,1235,4-8
V1,da,polc-polo,sub-wlsubj123,-0.0299931087491346,1.07041164072014,1235,4-8
V1,da,horiz-vert,sub-wlsubj124,-0.113941819020466,1.01028706065715,1564,4-8
V1,da,card-obl,sub-wlsubj124,-0.0444495552817775,1.01028706065715,1564,4-8
V1,da,rad-tang,sub-wlsubj124,0.0751419814930212,1.01028706065715,1564,4-8
V1,da,polc-polo,sub-wlsubj124,-0.0156492182156721,1.01028706065715,1564,4-8
V1,da,horiz-vert,sub-0395,-0.318442467281954,0.856885112529677,1786,4-8
V1,da,card-obl,sub-0395,-0.0271692938034579,0.856885112529677,1786,4-8
V1,da,rad-tang,sub-0395,-0.194878869846209,0.856885112529677,1786,4-8
V1,da,polc-polo,sub-0395,-0.107096452963551,0.856885112529677,1786,4-8
V1,da,horiz-vert,sub-0426,-0.538054938938049,1.30083043815567,1135,4-8
V1,da,card-obl,sub-0426,-0.0379612801016647,1.30083043815567,1135,4-8
V1,da,rad-tang,sub-0426,0.0503115525677537,1.30083043815567,1135,4-8
V1,da,polc-polo,sub-0426,-0.00947862722981441,1.30083043815567,1135,4-8
V1,da,horiz-vert,sub-0250,-0.195447965379338,0.779007252421509,1391,4-8
V1,da,card-obl,sub-0250,-0.11113188373793,0.779007252421509,1391,4-8
V1,da,rad-tang,sub-0250,0.261555795722163,0.779007252421509,1391,4-8
V1,da,polc-polo,sub-0250,0.12584917780659,0.779007252421509,1391,4-8
V1,dg,horiz-vert,sub-0037,-0.495268409422463,1.08318045240413,3482,2-10
V1,dg,card-obl,sub-0037,-0.185246183641986,1.08318045240413,3482,2-10
V1,dg,rad-tang,sub-0037,0.115626899034131,1.08318045240413,3482,2-10
V1,dg,polc-polo,sub-0037,0.0497383630986092,1.08318045240413,3482,2-10
V1,dg,horiz-vert,sub-0201,-0.228817486417387,1.11512209990936,2459,2-10
V1,dg,card-obl,sub-0201,-0.0910798410197178,1.11512209990936,2459,2-10
V1,dg,rad-tang,sub-0201,0.0502296578467537,1.11512209990936,2459,2-10
V1,dg,polc-polo,sub-0201,0.0161061624880629,1.11512209990936,2459,2-10
V1,dg,horiz-vert,sub-0255,-0.446451983634878,0.898720400821578,3605,2-10
